---------------------------------------------------------------------------------------------------
Date: 10/13/2025 -- 12:48:46 (uptime: 0d, 00h 00m 09s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 89
decoder.bytes                                                | Total                     | 15601
decoder.ipv4                                                 | Total                     | 87
decoder.ipv6                                                 | Total                     | 2
decoder.tcp                                                  | Total                     | 62
tcp.syn                                                      | Total                     | 2
tcp.synack                                                   | Total                     | 1
decoder.udp                                                  | Total                     | 26
decoder.icmpv6                                               | Total                     | 1
decoder.avg_pkt_size                                         | Total                     | 175
decoder.max_pkt_size                                         | Total                     | 1415
tcp.active_sessions                                          | Total                     | 2
flow.total                                                   | Total                     | 16
flow.active                                                  | Total                     | 16
flow.tcp                                                     | Total                     | 12
flow.udp                                                     | Total                     | 3
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 10
tcp.sessions                                                 | Total                     | 2
tcp.ssn_from_pool                                            | Total                     | 2
tcp.segment_from_pool                                        | Total                     | 7
detect.alert                                                 | Total                     | 43
app_layer.flow.tls                                           | Total                     | 1
app_layer.flow.failed_udp                                    | Total                     | 1
app_layer.flow.sip_udp                                       | Total                     | 2
app_layer.error.sip_udp.parser                               | Total                     | 23
flow.mgr.rows_per_sec                                        | Total                     | 9175
flow.spare                                                   | Total                     | 9000
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 12
flow.mgr.flows_notimeout                                     | Total                     | 12
memcap.pressure                                              | Total                     | 14
memcap.pressure_max                                          | Total                     | 14
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 9961472
tcp.reassembly_memuse                                        | Total                     | 1839104
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7151104
---------------------------------------------------------------------------------------------------
Date: 10/13/2025 -- 12:48:54 (uptime: 0d, 00h 00m 17s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 321
decoder.bytes                                                | Total                     | 49268
